pais,fecha,anio,nota_no,fuente,url_pagina,url_pdf
República Dominicana,2020-03-30,2020,MPRD-OEA 0300-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0300-2020.pdf
Perú,2020-03-30,2020,7-5-M/045,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_nota_No_7-5-M-045-2020.pdf
Bolivia,2020-03-30,2020,MPB-OEA-NV089-20,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Bolivia_nota_No_NV089-20.pdf
Argentina,2020-04-01,2020,OEA 042,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_42-2020.pdf
El Salvador,2020-04-01,2020,MPOEA- OEA-024/2020,notif_oea_art27,,
República Dominicana,2020-04-03,2020,MPRD-OEA 0315-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0315-2020.pdf
Colombia,2020-04-03,2020,MPC/OEA No. 412/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_412-2020.pdf
Honduras,2020-04-08,2020,057/MPHOEA/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Honduras_nota_No_57-2020.pdf
Colombia,2020-04-08,2020,MPC/OEA No. 424/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_424-2020.pdf
Colombia,2020-04-13,2020,MPC/OEA No. 428/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_428-2020.pdf
República Dominicana,2020-04-16,2020,MPRD-OEA 0365-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0365-2020.pdf
Colombia,2020-04-16,2020,MPC/OEA No. 450/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_450-2020.pdf
Colombia,2020-04-17,2020,MPC/OEA No. 471/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_471-2020.pdf
República Dominicana,2020-04-20,2020,MPRD-OEA 0400-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0400-2020.pdf
Bolivia,2020-04-20,2020,MPB-OEA-NV096-20,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Bolivia_nota_No_NV096-20.pdf
Perú,2020-04-27,2020,7-5-M/047,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_nota_No_7-5-M-047-2020.pdf
Colombia,2020-04-27,2020,MPC/OEA No. 496.1/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_496_1-2020.pdf
Guatemala,2020-04-29,2020,Ref. NV-OEA-M4-No.266-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_No_266-2020.pdf
República Dominicana,2020-04-30,2020,MPRD-OEA 0491-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0491-2020.pdf
República Dominicana,2020-04-30,2020,MPRD-OEA 0489-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0489-2020.pdf
República Dominicana,2020-05-01,2020,MPRD-OEA 0496-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0496-2020.pdf
Bolivia,2020-05-04,2020,MPB-OEA-NV102-20,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Bolivia_nota_No_NV102-20.pdf
Suriname,2020-05-04,2020,PVOSA/SUR/191/20,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Suriname_nota_No_PVOSA-SUR-191-20.pdf
Perú,2020-05-06,2020,7-5-M/049,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_nota_No_7-5-M-049-2020.pdf
Colombia,2020-05-07,2020,MPC/OEA No. 591.1/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_591_1-2020.pdf
Paraguay,2020-05-08,2020,292-20-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_292-20-MPP-OEA.pdf
Colombia,2020-05-13,2020,MPC/OEA No. 617/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_617-2020.pdf
Colombia,2020-05-14,2020,MPC/OEA No. 620/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_620-2020.pdf
Ecuador,2020-05-16,2020,4-2-136/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_nota_No_4-2-136-2020.pdf
Guatemala,2020-05-16,2020,NV-OEA-M4-318-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_No_NV-OEA-M4-318-2020.pdf
República Dominicana,2020-05-18,2020,MPRD-OEA 0632-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0632-2020.pdf
Honduras,2020-05-18,2020,059/MPHOEA/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Honduras_nota_No_059-MPHOEA-2020.pdf
Colombia,2020-05-18,2020,MPC/OEA No. 636/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_636-2020.pdf
Bolivia,2020-05-19,2020,MPB-OEA-NV108-20,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Bolivia_nota_No_NV108-20.pdf
Colombia,2020-05-21,2020,MPC/OEA No. 653/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_653-2020.pdf
Colombia,2020-05-21,2020,MPC/OEA No. 650.1/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_650_1-2020.pdf
Colombia,2020-05-22,2020,MPC/OEA No. 672/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_672-2020.pdf
Colombia,2020-05-26,2020,MPC/OEA No. 674.1/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_674_1-2020.pdf
Paraguay,2020-05-28,2020,324-20-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_324-20-MPP-OEA.pdf
Argentina,2020-05-29,2020,71,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_71-2020.pdf
Colombia,2020-06-01,2020,MPC/OEA No. 697/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_697-2020.pdf
República Dominicana,2020-06-02,2020,MPRD-OEA 0763-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0763-2020.pdf
Guatemala,2020-06-03,2020,NV-OEA-M4-371-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_No_NV-OEA-M4-371-2020.pdf
Guatemala,2020-06-03,2020,NV-OEA-M4-368-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_No_NV-OEA-M4-368-2020.pdf
Panamá,2020-06-03,2020,PANA-OEA-7-151,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Panama_nota_No_7-151-2020.pdf
Colombia,2020-06-04,2020,MPC/OEA No. 724/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_724-2020.pdf
Argentina,2020-06-08,2020,79,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_79-2020.pdf
Perú,2020-06-08,2020,7-5-M/054,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_nota_No_7-5-M-054-2020.pdf
Panamá,2020-06-08,2020,PANA-OEA-7-160,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Panama_nota_No_7-160-2020.pdf
Venezuela,2020-06-08,2020,MP-RBV/OEA 099-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Venezuela_nota_MP-RBV-OEA_099-2020.pdf
Colombia,2020-06-12,2020,MPC/OEA No. 727/2020 de fecha 5 de junio 2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_727-2020.pdf
República Dominicana,2020-06-14,2020,MPRD-OEA 0838-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0838-2020.pdf
Paraguay,2020-06-15,2020,373-20-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_373-20-MPP-OEA.pdf
Ecuador,2020-06-16,2020,4-2-162/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_nota_No_4-2-162-2020.pdf
Chile,2020-06-18,2020,52-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Chile_nota_No_52-2020.pdf
República Dominicana,2020-06-28,2020,MPRD-OEA 0919-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0919-2020.pdf
Argentina,2020-06-30,2020,90,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_90-2020.pdf
República Dominicana,2020-07-01,2020,MPRD-OEA 0930-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0930-2020.pdf
Bolivia,2020-07-01,2020,MPB-OEA-NV127-20,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Bolivia_nota_No_NV127-20.pdf
Guatemala,2020-07-03,2020,NV-OEA-M4-485-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_No_NV-OEA-M4-485-2020.pdf
Paraguay,2020-07-06,2020,431-20-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_431-20-MPP-OEA.pdf
Honduras,2020-07-06,2020,066/MPHOEA/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Honduras_nota_No_066-MPHOEA-2020.pdf
Perú,2020-07-10,2020,7-5-M/063,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_nota_No_7-5-M-063-2020.pdf
Jamaica,2020-07-16,2020,6/80/2,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Jamaica_nota_No_6-80-2.pdf
República Dominicana,2020-07-20,2020,MPRD-OEA 1005-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_1005-2020.pdf
República Dominicana,2020-07-20,2020,MPRD-OEA 1003-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_1003-2020.pdf
Argentina,2020-07-21,2020,101,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_101-2020.pdf
Panamá,2020-07-21,2020,PANA-OEA-7-182,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Panama_nota_No_7-182-2020.pdf
Paraguay,2020-07-23,2020,490-20-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_490-20-MPP-OEA.pdf
Guatemala,2020-07-23,2020,NV-OEA-M4-529-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_No_NV-OEA-M4-529-2020.pdf
Guatemala,2020-07-31,2020,NV-OEA-M4-564-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_No_NV-OEA-M4-564-2020.pdf
Argentina,2020-08-03,2020,113,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_113-2020.pdf
Paraguay,2020-08-03,2020,556-20-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_556-20-MPP-OEA.pdf
República Dominicana,2020-08-08,2020,MPRD-OEA 01061-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_01061-2020.pdf
Ecuador,2020-08-13,2020,4-2-320/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_nota_No_4-2-320-2020.pdf
Paraguay,2020-08-14,2020,581-20-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_581-20-MPP-OEA.pdf
Ecuador,2020-08-16,2020,4-2-321/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_nota_No_4-2-321-2020.pdf
Perú,2020-08-17,2020,7-5-M/075,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_nota_No_7-5-M-075-2020.pdf
Argentina,2020-08-20,2020,122,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_122-2020.pdf
Guatemala,2020-08-21,2020,NV-OEA-M4-632-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_No_NV-OEA-M4-632-2020.pdf
Paraguay,2020-08-24,2020,600-20-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_600-20-MPP-OEA.pdf
Panamá,2020-08-24,2020,PANA-OEA-7-182,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Panama_nota_No_7-199-2020.pdf
Paraguay,2020-08-31,2020,615-20-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_615-20-MPP-OEA.pdf
Argentina,2020-09-01,2020,130,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_130-2020.pdf
República Dominicana,2020-09-02,2020,MPRD-OEA 01193-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_01193-2020.pdf
