pais,fecha,anio,nota_no,fuente,url_pagina,url_pdf,decreto,tipo,base_legal,causa,plazo_dias,alcance,derechos,ocr_chars
Panamá,2021-04-19,2021,PANA-OEA-8-102,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Panama_nota_No_8-102.pdf,Decreto Ejecutivo N* 1222,,Art. 17 Constitución,desastre/salud,,nacional,"Internacional, en ocasión de hacer referencia a la nota PANA-OEA-7-258 del 27 de octubre de 2020, mediante la cual en cumplimiento del artículo 27, inciso 3 de",7254
República Dominicana,2021-04-20,2021,MPRD-OEA 0397-2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0397-2021.pdf,Decreto No.231-21,estado de emergencia,Art. 128 Constitución,desastre/salud,45,,"Internacional -, tiene a bien referirse al cumplimiento de lo establecido en el artículo 27, inciso 3, de la Convención Americana sobre Derechos Humanos (CADH)",5008
Ecuador,2021-04-22,2021,4-2-111/2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_nota_No_4-2-111-2021.pdf,Decreto Ejecutivo No. 1291,estado de excepción,Art. 3 Constitución,desastre/salud; orden público,,"subnacional: Azuay, Imbabura, Loja, Manabí, Santo Domingo de los Tsáchilas, Guayas, Pichincha,","Internacional — y, en cumplimiento con lo establecido en el artículo 27, inciso 3, de la Convención Americana de Derechos Humanos, tiene a honra remitir para su",11855
Paraguay,2021-04-26,2021,429-21-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_429-21-MPP-OEA.pdf,DECRETO N* 5160,estado de emergencia,Art. 33 Constitución,desastre/salud,,nacional,"Humanos, a fin de remitir en anexo para los fines pertinentes, los textos de las últimas disposiciones emitidas por la Presidencia de la República del Paraguay",7144
Uruguay,2021-04-26,2021,043/2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Uruguay_nota_043-2021.pdf,,,,desastre/salud,,,Internacional- y tiene el honor de referirse en cumplimiento al artículo 27 inciso 3 de la Convención Americana de Derechos Humanos,1121
Argentina,2021-05-04,2021,095,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_095-2021.pdf,Decreto N* 520/20,,,desastre/salud,,,,8551
Perú,2021-05-11,2021,7-5-M/064,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_nota_No_7-5-M-064-2021.pdf,Decreto Supremo N* 76-2021,estado de emergencia,Art. 2 Constitución,desastre/salud,,"subnacional: Loreto, Huánuco y Lima;","Internacional- y tiene a bien informar que mediante Decreto Supremo N* 76-2021-PCM, publicado el 17 de abril de 2021, se ha dispuesto la prórroga del Estado de",20512
República Dominicana,2021-05-18,2021,MPRD-OEA 0540-2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0540-2021.pdf,,estado de emergencia,Art. 128 Constitución,desastre/salud,45,,"Internacional -, tiene a bien referirse al cumplimiento de lo establecido en el artículo 27, inciso 3, de la Convención Americana sobre Derechos Humanos (CADH)",5507
Argentina,2021-05-26,2021,106,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_106-2021.pdf,,,,desastre/salud,,,,8386
República Dominicana,2021-06-02,2021,MPRD-OEA 0642-2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0642-2021.pdf,,estado de emergencia,Art. 128 Constitución,desastre/salud,45,,"Internacional -, tiene a bien referirse al cumplimiento de lo establecido en el artículo 27, inciso 3, de la Convención Americana sobre Derechos Humanos (CADH)",7996
Perú,2021-06-04,2021,7-5-M/073,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_nota_No_7-5-M-073-2021.pdf,Decreto Supremo N* 105-2021,estado de emergencia,Art. 2 Constitución,desastre/salud,,"subnacional: Loreto, Huánuco y Lima;","Internacional- y tiene a bien informar que mediante Decreto Supremo N* 105-2021-PCM, publicado el 27 de mayo de 2021, se ha dispuesto la prórroga del Estado de",23508
Paraguay,2021-06-07,2021,572-21-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_572-21-MPP-OEA.pdf,DECRETO No. 5161/2021,estado de emergencia,Art. 33 Constitución,desastre/salud,,nacional,"Humanos, a fin de remitir en anexo para los fines pertinentes, los textos de las últimas disposiciones emitidas por la Presidencia de la República del Paraguay",7844
