pais,pais_en,fecha,anio,tipo_evento,regimen,regimen_origen,cn_ref,url_pdf,fuente,texto,snippet
Guatemala,Guatemala,2020-05-29,2020,otro,estado de emergencia,heredado,C.N.188.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.188.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Guatemala a notification dated 29 May 2020, made under article 4 (3) of the above Covenant, regarding the measures restricting the application of articles 12 and 21 in the entire territory of Guatemala from 5 p.m. on Friday, 22 May to 5 a.m. on Monday, 25 May and from 5 p.m. on Friday, 29 May to 5 a.m. on Monday, 1 June. (See C.N.188.2020 .TREATIES-IV.4 of 9 June 2020 for the text of the notification.)","The Secretary-General received from the Government of Guatemala a notification dated 29 May 2020, made under article 4 (3) of the above Covenant, regarding the measures restricting the application of articles 12 and 21 i"
Argentina,Argentina,2020-06-01,2020,declaración,estado de emergencia,directo,C.N.189.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.189.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Argentina a notification dated 29 May 2020, made under article 4 (3) of the above Covenant, regarding the declaration of a state of emergency in the entire territory of Argentina. (See C.N.189.2020 .TREATIES-IV.4 of 11 June 2020 for the text of the notification.)","The Secretary-General received from the Government of Argentina a notification dated 29 May 2020, made under article 4 (3) of the above Covenant, regarding the declaration of a state of emergency in the entire territory "
Guatemala,Guatemala,2020-06-02,2020,extensión,estado de emergencia,heredado,C.N.191.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.191.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Guatemala a notification dated 1 June 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of national emergency for an additional period of thirty days. (See C.N.191.2020 .TREATIES-IV.4 of 11 June 2020 for the text of the notification.","The Secretary-General received from the Government of Guatemala a notification dated 1 June 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of national emergency for an addition"
Guatemala,Guatemala,2020-06-03,2020,declaración,estado de sitio,directo,C.N.190.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.190.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Guatemala a notification dated 1 June 2020, made under article 4 (3) of the above Covenant, regarding the declaration of a state of siege throughout the territory of the municipalities of Nahualá, Santa Catarina Ixtahuacán and Santa Lucía Utatlán, in the Department of Sololá, Republic of Guatemala, by Government Decree No. 10-2020 of 29 May 2020 for a period of thirty days from the date of entry into force of the said Decree. (See C.N.190.2020 .TREATIES-IV.4 of 11 June 2020 for the text of the notification.)","The Secretary-General received from the Government of Guatemala a notification dated 1 June 2020, made under article 4 (3) of the above Covenant, regarding the declaration of a state of siege throughout the territory of "
Colombia,Colombia,2020-06-05,2020,fin/levantamiento,estado de emergencia,directo,C.N.200.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.200.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Colombia a notification dated 5 June 2020, made under article 4 (3) of the above Covenant, regarding the end of the state of emergency on 4 June 2020, at the end of Decree No. 637 of 2020. (See C.N.200.2020 .TREATIES-IV.4 of 15 June 2020 for the text of the notification.)","The Secretary-General received from the Government of Colombia a notification dated 5 June 2020, made under article 4 (3) of the above Covenant, regarding the end of the state of emergency on 4 June 2020, at the end of D"
Ecuador,Ecuador,2020-06-17,2020,declaración,estado de emergencia,directo,C.N.256.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.256.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Ecuador a notification dated 16 June 2020, made under article 4 (3) of the above Covenant, regarding the declaration of a state of emergency throughout the national territory for a period of 60 days by Executive Decree No. 1074 of 15 June 2020. (See C.N.256.2020 .TREATIES-IV.4 of 23 June 2020 for the text of the notification.)","The Secretary-General received from the Government of Ecuador a notification dated 16 June 2020, made under article 4 (3) of the above Covenant, regarding the declaration of a state of emergency throughout the national t"
Chile,Chile,2020-06-18,2020,extensión,estado de emergencia,directo,C.N.263.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.263.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Chile a notification dated 18 June 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of emergency in the Chilean territory for a period of 90 days pursuant to Decree No. 269 issued on 12 June 2019. (See C.N.263.2020 .TREATIES-IV.4 of 26 June 2020 for the text of the notification.)","The Secretary-General received from the Government of Chile a notification dated 18 June 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of emergency in the Chilean territory fo"
República Dominicana,Dominican Republic,2020-06-25,2020,declaración,estado de emergencia,directo,C.N.279.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.279.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of the Dominican Republic a notification dated 25 June 2020, made under article 4 (3) of the above Covenant, regarding a declaration of a state of emergency in its entire territory. (See C.N.279.2020 .TREATIES-IV.4 of 7 July 2020 for the text of the notification.)","The Secretary-General received from the Government of the Dominican Republic a notification dated 25 June 2020, made under article 4 (3) of the above Covenant, regarding a declaration of a state of emergency in its entir"
Perú,Peru,2020-06-30,2020,extensión,estado de emergencia,heredado,C.N.276.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.276.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Peru a notification dated 29 June 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of national emergency from 1 to 31 July 2020 by Supreme Decree No. 116-2020-PCM of 26 June 2019. (See C.N.276.2020 .TREATIES-IV.4 of 1 July 2020 for the text of the notification.)","The Secretary-General received from the Government of Peru a notification dated 29 June 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of national emergency from 1 to 31 July 2"
Guatemala,Guatemala,2020-07-06,2020,extensión,estado de sitio,directo,C.N.301.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.301.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Guatemala a notification dated 1 July 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of siege throughout the territory of the municipalities of Nahualá, Santa Catarina Ixtahuacán and Santa Lucía Utatlán, in the Department of Sololá, Republic of Guatemala, by Government Decree No. 11-2020 of 23 June 2020 for a period of thirty days. (See C.N.301.2020 .TREATIES-IV.4 of 14 July 2020 for the text of the notification.)","The Secretary-General received from the Government of Guatemala a notification dated 1 July 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of siege throughout the territory of "
